# BLE AoA 7x7 reference grid, measured 2026-09-11. Frame: anchor centre = origin, +x toward tag wall (x=295 cm), +y right FROM TAG, +z up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Uncertainties (half-ranges, combined in quadrature): x +/-1.0 cm; y +/-0.25 cm; z +/-0.5 cm; floor/ceiling z assumed +/-0.5 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ceiling height above floor measured 259-260 cm (true value <260 cm; the 260.0 entries are at the rounding limit). lambda=12.3 cm (2440 MHz).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row,col,label,x_cm,y_cm,z_cm,x_unc_cm,y_unc_cm,z_unc_cm,AZ_deg,EL_deg,AZ_unc_deg,EL_unc_deg,z_floor_cm,z_ceiling_cm,height_above_floor_cm,clearance_below_ceiling_cm,EL_floor_image_deg,sep_floor_deg,dL_floor_cm,dL_floor_wavelengths,dL_floor_unc_cm,floor_phase_unc_deg,EL_ceiling_image_deg,sep_ceiling_deg,dL_ceiling_cm,dL_ceiling_wavelengths,floor_specular_x_from_wall_cm,ceiling_specular_x_from_wall_cm,z_surface_unc_cm,height_above_floor_unc_cm,clearance_below_ceiling_unc_cm,floor_ray_phase_unc_deg,dL_ceiling_unc_cm,ceiling_ray_phase_unc_deg,ceiling_height_above_floor_cm,range_unc_cm
3,5,27,295,-80,0,1,0.25,0.5,-15.17,0,0.067,0.094,-136.5,123.5,136.5,123.5,-41.77,41.77,104.2,8.47,0.78,9.7,38.94,38.94,87.3,7.1,152.8,152.8,0.5,0.71,0.71,22.8,0.73,21.4,260,0.97
3,6,28,295,-120,0,1,0.25,0.5,-22.14,0,0.08,0.09,-136.5,123.5,136.5,123.5,-40.6,40.6,101,8.21,0.76,9.5,37.8,37.8,84.6,6.88,159.2,159.2,0.5,0.71,0.71,22.3,0.71,20.8,260,0.93
4,0,29,295,120,-39,1,0.25,0.5,22.14,-6.98,0.08,0.091,-135,124,96,163,-35.95,28.97,72.6,5.9,0.71,10.4,42.02,49.01,107.9,8.77,132.4,180.9,0.5,0.71,0.71,20.8,0.76,22.3,259,0.93
4,1,30,295,80,-39,1,0.25,0.5,15.17,-7.27,0.067,0.095,-135.5,124,96.5,163,-37.2,29.93,75.6,6.15,0.73,10.7,43.2,50.47,111.1,9.04,127.1,173.6,0.5,0.71,0.71,21.4,0.78,22.8,259.5,0.96
4,2,31,295,40,-39,1,0.25,0.5,7.72,-7.46,0.054,0.098,-135.5,124,96.5,163,-37.93,30.47,77.2,6.28,0.75,10.9,43.95,51.42,113.3,9.21,123.8,169.1,0.5,0.71,0.71,22,0.8,23.4,259.5,0.99
4,3,32,295,0,-39,1,0.25,0.5,0,-7.53,0.049,0.099,-136,124,97,163,-38.3,30.77,78.4,6.37,0.75,11,44.21,51.74,114,9.27,122.8,167.5,0.5,0.71,0.71,22,0.8,23.4,260,0.99
4,4,33,295,-40,-39,1,0.25,0.5,-7.72,-7.46,0.054,0.098,-136,123.5,97,162.5,-38.05,30.59,77.8,6.33,0.75,10.9,43.85,51.32,112.6,9.16,123.9,169.1,0.5,0.71,0.71,22,0.79,23.1,259.5,0.99
4,5,34,295,-80,-39,1,0.25,0.5,-15.17,-7.27,0.067,0.095,-136.5,123.5,97.5,162.5,-37.44,30.17,76.8,6.25,0.74,10.7,43.1,50.37,110.5,8.98,127.4,173.7,0.5,0.71,0.71,21.7,0.78,22.8,260,0.96
4,6,35,295,-120,-39,1,0.25,0.5,-22.14,-6.98,0.08,0.091,-136.5,123.5,97.5,162.5,-36.31,29.33,74.3,6.05,0.71,10.4,41.92,48.91,107.2,8.72,132.7,181,0.5,0.71,0.71,20.8,0.76,22.3,260,0.93
5,0,36,295,120,-78,1,0.25,0.5,22.14,-13.76,0.08,0.093,-135,124,57,202,-31.08,17.32,44,3.58,0.65,11,45.67,59.43,127.9,10.4,94.5,197.3,0.5,0.71,0.71,19,0.8,23.4,259,0.91
